Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,Column1,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,INCOME,EMAIL,MRN
21248,3/8/66,0,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"c/o Emergency Mail Program
1154 Sarah Square Suite 992",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21249,6/1/88,0,615-66-9652,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"USPS Store
8507 Kelly Keys Suite 761",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21250,8/10/69,0,399-17-4135,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,GENERAL DELIVERY,New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21251,8/2/82,0,264-70-2108,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,PO BOX 5168,New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21252,3/8/66,0,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"USPS Store
098 Jenkins Meadow  Suite 887",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21253,3/8/66,0,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,GENERAL DELIVERY,New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21254,3/8/66,0,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,PO BOX 5442,New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21255,1/29/80,0,853-73-5688,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"c/o Emergency Mail Program
666 Stewart Ranch Apt. 805",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21256,10/25/85,0,886-76-1180,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"Lawson PLC
8993 Brenda Freeway Apt. 679",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21257,3/8/66,0,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,Veum,D,black,nonhispanic,F,Rotterdam  New York  US,"Fisher, Vasquez and Higgins
77690 Cannon Oval Suite 255",New York,New York,New York County,36061,10023,31934,sHUfYNzuqE@gmail.com,999-34-3432
21258,8/10/69,0,399-17-4135,S99965540,X20013051X,Mr.,Howard,Keith,Zulauf,0,0,W,white,nonhispanic,M,Braga  Minho  PT,GENERAL DELIVERY,New York,New York,New York County,36061,10119,21871,cVMEvHMXJv@hotmail.com,999-42-9160
