Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,Column1,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,INCOME,EMAIL
21248,2004-01-29,,119-26-3833,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,,D,black,nonhispanic,F,Rotterdam  New York  US,"Baker, Wilson and Jacobson Senior Center
75057 Clark Island",New York,New York,New York County,36061,10023,31934,eQBcoxHqXY@yahoo.com
21249,1966-03-08,,999-34-3432,S99973807,X17421891X,Mrs.,Dian,0,Waelchi,0,,D,black,nonhispanic,F,Rotterdam  New York  US,"Leon-Gutierrez College Dorm
5918 Mark Squares Apt. 950",New York,New York,New York County,36061,10023,31934,eQBcoxHqXY@yahoo.com
21250,2004-01-29,,119-26-3833,S99965540,X20013051X,Mr.,Howard,Keith,Zulauf,0,,W,white,nonhispanic,M,Braga  Minho  PT,"Christensen-Hester Prison
438 Kevin Turnpike Suite 955",New York,New York,New York County,36061,10119,21871,HeQxqdSmrg@gmail.com
21251,1965-07-12,,999-42-9160,S99965540,X20013051X,Mr.,Howard,Keith,Zulauf,0,,W,white,nonhispanic,M,Braga  Minho  PT,"Brady, Middleton and Long Nursing Home
332 Martin Throughway",New York,New York,New York County,36061,10119,21871,HeQxqdSmrg@gmail.com
21252,2004-01-29,,119-26-3833,S99985882,X87412042X,Mr.,Gerardo,Ramon,Galvez,0,,M,white,hispanic,M,San Juan  Puerto Rico  PR,"Leonard, Jones and Perez Senior Center
8015 John Expressway",New York,New York,New York County,36061,10022,68101,IvyGcGikLp@gmail.com
21253,1958-01-31,,999-82-1471,S99985882,X87412042X,Mr.,Gerardo,Ramon,Galvez,0,,M,white,hispanic,M,San Juan  Puerto Rico  PR,"Ewing PLC Senior Center
192 Fuller Mill Apt. 678",New York,New York,New York County,36061,10022,68101,IvyGcGikLp@gmail.com
21254,1988-02-13,,999-34-5819,S99939307,X26300166X,Mr.,Lon,Ted,Padberg,0,,M,white,nonhispanic,M,New York  New York  US,"Brown Ltd College Dorm
7223 Williams Fords Apt. 125",New York,New York,New York County,36061,10002,112949,bAGShJiYrI@gmail.com
21255,2004-01-29,,119-26-3833,S99939307,X26300166X,Mr.,Lon,Ted,Padberg,0,,M,white,nonhispanic,M,New York  New York  US,"Black, Stevens and Miller Senior Center
0096 Richard Ports",New York,New York,New York County,36061,10002,112949,bAGShJiYrI@gmail.com
21256,2004-01-29,,119-26-3833,S99913993,X48455472X,Mrs.,Dalia,0,Welch,0,,M,white,nonhispanic,F,Floral Park  New York  US,"Cannon-Mack Nursing Home
22976 James Underpass Apt. 709",New York,New York,New York County,36047,11206,95025,nuXYTitDTL@hotmail.com
21257,1960-04-18,,999-41-5219,S99913993,X48455472X,Mrs.,Dalia,0,Welch,0,,M,white,nonhispanic,F,Floral Park  New York  US,"Rodriguez-Coleman Nursing Home
82462 Julie Square",New York,New York,New York County,36047,11206,95025,nuXYTitDTL@hotmail.com
21258,2018-04-02,,999-31-2804,0,0,0,Jorge Luis,Gonzalo,Nieto,0,,0,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,"Braun PLC College Dorm
542 Ferguson Mission Suite 663",New York,New York,New York County,36005,10470,57085,wESALIkBuy@yahoo.com
21259,2004-01-29,,119-26-3833,0,0,0,Jorge Luis,Gonzalo,Nieto,0,,0,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,"Logan-Solomon College Dorm
791 Butler Stravenue",New York,New York,New York County,36005,10470,57085,wESALIkBuy@yahoo.com
21260,2004-01-29,,119-26-3833,S99924802,0,Ms.,Sharice,Tiara,Paucek,0,,0,asian,nonhispanic,F,Huntington Bay  New York  US,"Chan-Rosales Senior Center
51065 Flores Vista",New York,New York,New York County,36061,10034,55624,xFvbEJhveE@hotmail.com
21261,2005-05-09,,999-66-4632,S99924802,0,Ms.,Sharice,Tiara,Paucek,0,,0,asian,nonhispanic,F,Huntington Bay  New York  US,"Nguyen Group College Dorm
45951 Barker Mall",New York,New York,New York County,36061,10034,55624,xFvbEJhveE@hotmail.com
21262,2006-09-23,,999-90-9482,S99933162,0,0,Emmett,Columbus,Denesik,0,,0,white,nonhispanic,M,Chittenango  New York  US,"Henry-Sanchez Prison
26787 Mary Isle",New York,New York,New York County,36081,11420,148354,bULFXUmrKR@hotmail.com
21263,2004-01-29,,119-26-3833,S99933162,0,0,Emmett,Columbus,Denesik,0,,0,white,nonhispanic,M,Chittenango  New York  US,"Berry-Lindsey Prison
599 Johnson Courts Suite 886",New York,New York,New York County,36081,11420,148354,bULFXUmrKR@hotmail.com
21264,1991-08-31,,999-54-3026,S99939636,X83204771X,Mrs.,Macie,Yolande,Brown,0,,M,white,nonhispanic,F,New York  New York  US,"Cole PLC Prison
2951 Sherman Road",New York,New York,New York County,36005,10463,137149,rwfKdlSRwP@yahoo.com
21265,2004-01-29,,119-26-3833,S99939636,X83204771X,Mrs.,Macie,Yolande,Brown,0,,M,white,nonhispanic,F,New York  New York  US,"Hale PLC Prison
44005 Shaw View",New York,New York,New York County,36005,10463,137149,rwfKdlSRwP@yahoo.com
21266,1939-11-29,,999-54-4677,S99911931,X803903X,Mr.,Leland,0,Senger,0,,D,white,nonhispanic,M,Waddington  New York  US,"Shea, Wiggins and Gallegos Senior Center
003 Glover Knoll",New York,New York,New York County,36005,10464,114779,mxpVxMDKfW@gmail.com
21267,2004-01-29,,119-26-3833,S99911931,X803903X,Mr.,Leland,0,Senger,0,,D,white,nonhispanic,M,Waddington  New York  US,"Pope, Carson and Garcia College Dorm
1880 Randy Green",New York,New York,New York County,36005,10464,114779,mxpVxMDKfW@gmail.com
21268,2004-01-29,,119-26-3833,S99938444,X72930146X,Mr.,Norbert,0,Prosacco,0,,M,black,nonhispanic,M,New York  New York  US,"Romero-Mayer Prison
696 Andrew Summit",New York,New York,New York County,36061,10154,61663,ThkXYgeFqT@hotmail.com
21269,1955-06-26,,999-65-2011,S99938444,X72930146X,Mr.,Norbert,0,Prosacco,0,,M,black,nonhispanic,M,New York  New York  US,"Richards-Wallace Prison
34471 Michael Flat",New York,New York,New York County,36061,10154,61663,ThkXYgeFqT@hotmail.com
21270,2027-09-09,,999-52-2912,S99928448,X42508997X,Mr.,Sergio,Diego,Guillen,0,,W,white,hispanic,M,Havana  Havana  CU,"Williams-Ford Senior Center
658 Norman Corner",New York,New York,New York County,36061,10035,1875,MxguKMiIDE@yahoo.com
21271,2004-01-29,,119-26-3833,S99928448,X42508997X,Mr.,Sergio,Diego,Guillen,0,,W,white,hispanic,M,Havana  Havana  CU,"Ramirez-Brown College Dorm
1605 Shelly Harbors Suite 415",New York,New York,New York County,36061,10035,1875,MxguKMiIDE@yahoo.com
