BIRTHDATE,FIRST,LAST,GENDER,ADDRESS,CITY,STATE,ZIP,ID
11-7-2153,John,Shepard,,,,,90909,0
11-7-2153,Jhon,Sheperd,,,,,90909,1
11-7-2153,Jon,Shepherd,,,,,90909,2
11-7-2153,Johnathan,Shepard,,,,,90909,3
11-7-2153,Nathan,Shepard,,,,,90909,4
1-10-1986,Jane,Smith,,,,,12345,5
12-12-1992,Daphne,Walker,,,,,23456,6
1-1-1980,Alejandro,Villanueve,,,,,15935,7
1-1-1980,Alejandro,Villanueva,,,,,15935,8
2-2-1990,Philip,,,,,,64873,9
1-1-1980,Alejandr,Villanueve,,,,,15935,10
1-1-1980,Aelxdrano,Villanueve,,,,,15935,11
